file,curve_index,header,true_label,predicted_label,correct
cabbage/4.xlsx,1,0-1,None,Mixture,False
cabbage/4.xlsx,2,0-2,None,None,True
cabbage/4.xlsx,3,1ul,Mixture,Mixture,True
cabbage/4.xlsx,4,3ul,Mixture,Mixture,True
cabbage/4.xlsx,5,5ul,Mixture,Mixture,True
cabbage/4.xlsx,6,10ul,Mixture,Mixture,True
cabbage/4.xlsx,7,15ul,Mixture,Mixture,True
cabbage/4.xlsx,8,20ul,Mixture,Mixture,True
cabbage/4.xlsx,9,30ul,Mixture,Mixture,True
cabbage/4.xlsx,10,40ul,Mixture,Mixture,True
cabbage/4.xlsx,11,50ul,Mixture,Mixture,True
cabbage/4.xlsx,12,60ul,Mixture,Mixture,True
cabbage/4.xlsx,13,80ul,Mixture,Mixture,True
cabbage/4.xlsx,14,100ul,Mixture,Mixture,True
grape/3.xlsx,1,0-2,None,None,True
grape/3.xlsx,2,1ul,Mixture,Chlorantraniliformamide,False
grape/3.xlsx,3,3ul,Mixture,Mixture,True
grape/3.xlsx,4,5ul,Mixture,Mixture,True
grape/3.xlsx,5,10ul,Mixture,Mixture,True
grape/3.xlsx,6,15ul,Mixture,Mixture,True
grape/3.xlsx,7,20ul,Mixture,Mixture,True
grape/3.xlsx,8,30ul,Mixture,Mixture,True
grape/3.xlsx,9,40ul,Mixture,Mixture,True
grape/3.xlsx,10,50ul,Mixture,Mixture,True
grape/3.xlsx,11,60ul,Mixture,Mixture,True
grape/3.xlsx,12,80ul,Mixture,Mixture,True
grape/3.xlsx,13,100ul,Mixture,Mixture,True
strawberry/1.xlsx,1,0-2,None,None,True
strawberry/1.xlsx,2,0-3,None,None,True
strawberry/1.xlsx,3,100ul,Mixture,Mixture,True
strawberry/1.xlsx,4,10ul,Mixture,Mixture,True
strawberry/1.xlsx,5,15ul,Mixture,Mixture,True
strawberry/1.xlsx,6,1ul,Mixture,None,False
strawberry/1.xlsx,7,20ul,Mixture,Mixture,True
strawberry/1.xlsx,8,30ul,Mixture,Mixture,True
strawberry/1.xlsx,9,3ul,Mixture,Mixture,True
strawberry/1.xlsx,10,40ul,Mixture,Mixture,True
strawberry/1.xlsx,11,50ul,Mixture,Mixture,True
strawberry/1.xlsx,12,5ul,Mixture,Mixture,True
strawberry/1.xlsx,13,60ul,Mixture,Mixture,True
strawberry/1.xlsx,14,80ul,Mixture,Mixture,True
