DF_index,RMSE_mean,MAE_mean,R2_mean
1,3.428587777771721e-05,2.46315487456956e-05,0.995124450096568
2,2.7321046287326072e-05,2.215882231244735e-05,0.9953539202359019
3,5.144855735487769e-05,3.766781456457329e-05,0.9850467626832186
4,5.013457718449933e-05,4.2003138197496996e-05,0.9866355613511418
5,3.564995490165011e-05,2.9624547626492604e-05,0.9955721894336798
6,4.0276052131622666e-05,2.9830446279451176e-05,0.9934528969508172
7,4.501435794151406e-05,3.6545140157373896e-05,0.9937049797383914
8,2.9318849662828816e-05,2.2657137706264787e-05,0.9950502084056823
9,6.108999943487198e-05,5.199639507457144e-05,0.9868300295366053
10,3.899295203316393e-05,2.5412158176043464e-05,0.9949854009329935
