DF_index,RMSE_mean,MAE_mean,R2_mean
1,6.104277089482942e-06,4.08535199999998e-06,0.9998578733412293
2,5.1619605287794734e-06,3.536600000000288e-06,0.9998640945426651
3,9.278926491556157e-06,5.8060426666667136e-06,0.9995606715406987
4,9.954564835848388e-06,7.114080768254291e-06,0.9996043502440755
5,6.289483198685923e-06,4.151042666666319e-06,0.9998806613371775
6,1.21283752697308e-05,6.9957253333332915e-06,0.9994069298921129
7,8.052307416530183e-06,5.210236000000093e-06,0.9998082465668767
8,5.033462987912681e-06,3.194782666666565e-06,0.9998717157671664
9,1.5373236198876206e-05,1.0204011555555526e-05,0.9991411206700905
10,6.643413490380641e-06,4.032926666666663e-06,0.9998687771830013
