Scope,DF_index,Method,Metric,Score
DF_1,1,RandomForest,R2_score,0.9998578733412293
DF_1,1,RandomForest,RMSE_score,0.9971117254075302
DF_1,1,RandomForest,MAE_score,0.9980630560831608
DF_1,1,RandomForest,Correlation_score,0.9999445618699876
DF_1,1,RandomForest,Peak_accuracy,0.9982372336358544
DF_1,1,RandomForest,Residual_stability,0.9891941670514421
DF_1,1,LinearRegression,R2_score,0.995124450096568
DF_1,1,LinearRegression,RMSE_score,0.9839941281951492
DF_1,1,LinearRegression,MAE_score,0.9884318267027918
DF_1,1,LinearRegression,Correlation_score,0.9985178166443172
DF_1,1,LinearRegression,Peak_accuracy,0.9862490841420446
DF_1,1,LinearRegression,Residual_stability,0.9511233511341657
DF_2,2,RandomForest,R2_score,0.9998640945426651
DF_2,2,RandomForest,RMSE_score,0.99704243219438
DF_2,2,RandomForest,MAE_score,0.9979700946725099
DF_2,2,RandomForest,Correlation_score,0.9999379793331739
DF_2,2,RandomForest,Peak_accuracy,0.996133571485268
DF_2,2,RandomForest,Residual_stability,0.9898756089393401
DF_2,2,LinearRegression,R2_score,0.9953539202359019
DF_2,2,LinearRegression,RMSE_score,0.9847013350651856
DF_2,2,LinearRegression,MAE_score,0.9875542452914935
DF_2,2,LinearRegression,Correlation_score,0.9982737652682294
DF_2,2,LinearRegression,Peak_accuracy,0.9907146294919096
DF_2,2,LinearRegression,Residual_stability,0.9518458879551632
DF_3,3,RandomForest,R2_score,0.9995606715406987
DF_3,3,RandomForest,RMSE_score,0.9950365272211132
DF_3,3,RandomForest,MAE_score,0.9968924659805511
DF_3,3,RandomForest,Correlation_score,0.9998393035135719
DF_3,3,RandomForest,Peak_accuracy,0.9925918612804209
DF_3,3,RandomForest,Residual_stability,0.984183137052398
DF_3,3,LinearRegression,R2_score,0.9850467626832186
DF_3,3,LinearRegression,RMSE_score,0.9731863940504004
DF_3,3,LinearRegression,MAE_score,0.980197781590509
DF_3,3,LinearRegression,Correlation_score,0.995895180468622
DF_3,3,LinearRegression,Peak_accuracy,0.9691119972250045
DF_3,3,LinearRegression,Residual_stability,0.9236798861331099
DF_4,4,RandomForest,R2_score,0.9996043502440755
DF_4,4,RandomForest,RMSE_score,0.9960113607095932
DF_4,4,RandomForest,MAE_score,0.9971448068828657
DF_4,4,RandomForest,Correlation_score,0.9998496690662897
DF_4,4,RandomForest,Peak_accuracy,0.997614206392472
DF_4,4,RandomForest,Residual_stability,0.9847713082165057
DF_4,4,LinearRegression,R2_score,0.9866355613511418
DF_4,4,LinearRegression,RMSE_score,0.9806923520579448
DF_4,4,LinearRegression,MAE_score,0.9837433462826195
DF_4,4,LinearRegression,Correlation_score,0.9944979738728078
DF_4,4,LinearRegression,Peak_accuracy,0.9927097767932496
DF_4,4,LinearRegression,Residual_stability,0.9309570347632474
DF_5,5,RandomForest,R2_score,0.9998806613371775
DF_5,5,RandomForest,RMSE_score,0.9974037209037769
DF_5,5,RandomForest,MAE_score,0.9982835585762988
DF_5,5,RandomForest,Correlation_score,0.9999472794948304
DF_5,5,RandomForest,Peak_accuracy,0.9965876901792999
DF_5,5,RandomForest,Residual_stability,0.9900913917586242
DF_5,5,LinearRegression,R2_score,0.9955721894336798
DF_5,5,LinearRegression,RMSE_score,0.98546296163744
DF_5,5,LinearRegression,MAE_score,0.9878828571756064
DF_5,5,LinearRegression,Correlation_score,0.9991012948900565
DF_5,5,LinearRegression,Peak_accuracy,0.9850788620261256
DF_5,5,LinearRegression,Residual_stability,0.955882164054813
DF_6,6,RandomForest,R2_score,0.9994069298921129
DF_6,6,RandomForest,RMSE_score,0.9942966173833674
DF_6,6,RandomForest,MAE_score,0.9967065055543741
DF_6,6,RandomForest,Correlation_score,0.9997552501771197
DF_6,6,RandomForest,Peak_accuracy,0.996818428055615
DF_6,6,RandomForest,Residual_stability,0.9791030224257309
DF_6,6,LinearRegression,R2_score,0.9934528969508172
DF_6,6,LinearRegression,RMSE_score,0.9813543730396209
DF_6,6,LinearRegression,MAE_score,0.9861263811472405
DF_6,6,LinearRegression,Correlation_score,0.9973847323020095
DF_6,6,LinearRegression,Peak_accuracy,0.9885230141821462
DF_6,6,LinearRegression,Residual_stability,0.9358385478745637
DF_7,7,RandomForest,R2_score,0.9998082465668767
DF_7,7,RandomForest,RMSE_score,0.9970265232099638
DF_7,7,RandomForest,MAE_score,0.9980724126785863
DF_7,7,RandomForest,Correlation_score,0.9999337387902112
DF_7,7,RandomForest,Peak_accuracy,0.9902311495929657
DF_7,7,RandomForest,Residual_stability,0.9869397956266094
DF_7,7,LinearRegression,R2_score,0.9937049797383914
DF_7,7,LinearRegression,RMSE_score,0.9836743609832863
DF_7,7,LinearRegression,MAE_score,0.986712039433454
DF_7,7,LinearRegression,Correlation_score,0.9977186950548114
DF_7,7,LinearRegression,Peak_accuracy,0.9976330532881693
DF_7,7,LinearRegression,Residual_stability,0.9361939694046603
DF_8,8,RandomForest,R2_score,0.9998717157671664
DF_8,8,RandomForest,RMSE_score,0.99753054037881
DF_8,8,RandomForest,MAE_score,0.9984320880602784
DF_8,8,RandomForest,Correlation_score,0.9999394978069674
DF_8,8,RandomForest,Peak_accuracy,0.9970989137259876
DF_8,8,RandomForest,Residual_stability,0.9897501980292268
DF_8,8,LinearRegression,R2_score,0.9950502084056823
DF_8,8,LinearRegression,RMSE_score,0.9858003018531164
DF_8,8,LinearRegression,MAE_score,0.9889803828698552
DF_8,8,LinearRegression,Correlation_score,0.9983904894794294
DF_8,8,LinearRegression,Peak_accuracy,0.9925862716379595
DF_8,8,LinearRegression,Residual_stability,0.9483850036914074
DF_9,9,RandomForest,R2_score,0.9991411206700905
DF_9,9,RandomForest,RMSE_score,0.9935468492353623
DF_9,9,RandomForest,MAE_score,0.9956955925891132
DF_9,9,RandomForest,Correlation_score,0.9998057590459136
DF_9,9,RandomForest,Peak_accuracy,0.9843305083911299
DF_9,9,RandomForest,Residual_stability,0.9797827266639518
DF_9,9,LinearRegression,R2_score,0.9868300295366053
DF_9,9,LinearRegression,RMSE_score,0.9748596515913704
DF_9,9,LinearRegression,MAE_score,0.9784518465124341
DF_9,9,LinearRegression,Correlation_score,0.9963541200172635
DF_9,9,LinearRegression,Peak_accuracy,0.9681052313832388
DF_9,9,LinearRegression,Residual_stability,0.9295755796155396
DF_10,10,RandomForest,R2_score,0.9998687771830013
DF_10,10,RandomForest,RMSE_score,0.9972734248972619
DF_10,10,RandomForest,MAE_score,0.9983431220367475
DF_10,10,RandomForest,Correlation_score,0.9999441598991569
DF_10,10,RandomForest,Peak_accuracy,0.9965901177399135
DF_10,10,RandomForest,Residual_stability,0.9893085187675871
DF_10,10,LinearRegression,R2_score,0.9949854009329935
DF_10,10,LinearRegression,RMSE_score,0.9842366607402793
DF_10,10,LinearRegression,MAE_score,0.9896526420693551
DF_10,10,LinearRegression,Correlation_score,0.9981808532200878
DF_10,10,LinearRegression,Peak_accuracy,0.989331980251807
DF_10,10,LinearRegression,Residual_stability,0.9421458864635646
Overall,All,RandomForest,R2_score,0.9996864441085094
Overall,All,RandomForest,RMSE_score,0.9962279721541158
Overall,All,RandomForest,MAE_score,0.9975603703114485
Overall,All,RandomForest,Correlation_score,0.9998897198997222
Overall,All,RandomForest,Peak_accuracy,0.9946233680478926
Overall,All,RandomForest,Residual_stability,0.9862999874531416
Overall,All,LinearRegression,R2_score,0.9921756399365
Overall,All,LinearRegression,RMSE_score,0.9817962519213793
Overall,All,LinearRegression,MAE_score,0.985773334907536
Overall,All,LinearRegression,Correlation_score,0.9974314921217635
Overall,All,LinearRegression,Peak_accuracy,0.9860043900421654
Overall,All,LinearRegression,Residual_stability,0.9405627311090233
