Scope,DF_index,Method,RMSE,MAE,R2,Pearson_r,NRMSE,NMAE,Peak_accuracy_raw,Residual_std_ratio
DF_1,1,RandomForest,6.104277089482933e-06,4.0853519999999715e-06,0.9998578733412293,0.9999445618699876,0.002897237767069296,0.001940948449327343,0.9982372336358544,0.010933205798271582
DF_1,1,LinearRegression,3.428587777771721e-05,2.46315487456956e-05,0.995124450096568,0.9985178166443172,0.016308630801462103,0.011723957435575975,0.9862490841420446,0.05175612357842762
DF_2,2,RandomForest,5.161960528779471e-06,3.5366000000002915e-06,0.9998640945426651,0.9999379793331739,0.002968167111544021,0.002034764694883209,0.996133571485268,0.01024976683465822
DF_2,2,LinearRegression,2.7321046287326072e-05,2.215882231244735e-05,0.9953539202359019,0.9982737652682294,0.01564947743369385,0.012685916661431328,0.9907146294919096,0.05171702453777127
DF_3,3,RandomForest,9.278926491556153e-06,5.806042666666714e-06,0.9995606715406987,0.9998393035135719,0.004996080401787868,0.003119911754228822,0.9925918612804209,0.016139171107356794
DF_3,3,LinearRegression,5.144855735487769e-05,3.766781456457329e-05,0.9850467626832186,0.995895180468622,0.027884922554069422,0.020355910970456057,0.9691119972250045,0.0854302382030786
DF_4,4,RandomForest,9.954564835848386e-06,7.114080768254292e-06,0.9996043502440755,0.9998496690662897,0.004008988173863131,0.0028655830807657414,0.997614206392472,0.015541407671834335
DF_4,4,LinearRegression,5.013457718449933e-05,4.2003138197496996e-05,0.9866355613511418,0.9944979738728078,0.01996526380018244,0.01672640530882567,0.9927097767932496,0.0786052591398361
DF_5,5,RandomForest,6.289483198685925e-06,4.151042666666323e-06,0.9998806613371775,0.9999472794948304,0.0026034964712766295,0.0017197072067035649,0.9965876901792999,0.010015449113924513
DF_5,5,LinearRegression,3.564995490165011e-05,2.9624547626492604e-05,0.9955721894336798,0.9991012948900565,0.014800178215617882,0.01230512504016994,0.9850788620261256,0.04652492273596323
DF_6,6,RandomForest,1.21283752697308e-05,6.995725333333289e-06,0.9994069298921129,0.9997552501771197,0.0057410320536262546,0.0033061631471892226,0.996818428055615,0.02141150043215092
DF_6,6,LinearRegression,4.0276052131622666e-05,2.9830446279451176e-05,0.9934528969508172,0.9973847323020095,0.019053551926923325,0.01410434631324536,0.9885230141821462,0.0692519474977282
DF_7,7,RandomForest,8.052307416530186e-06,5.210236000000097e-06,0.9998082465668767,0.9999337387902112,0.002983099217013528,0.0019315814434255536,0.9902311495929657,0.013248780477372438
DF_7,7,LinearRegression,4.501435794151406e-05,3.6545140157373896e-05,0.9937049797383914,0.9977186950548114,0.016634751209161382,0.013495975828628375,0.9976330532881693,0.06891531219308962
DF_8,8,RandomForest,5.033462987912684e-06,3.1947826666665704e-06,0.9998717157671664,0.9999394978069674,0.002476367207177744,0.0015706059125939298,0.9970989137259876,0.010372291567218637
DF_8,8,LinearRegression,2.9318849662828816e-05,2.2657137706264787e-05,0.9950502084056823,0.9983904894794294,0.014461923356150094,0.011181177876518424,0.9925862716379595,0.055033699416662904
DF_9,9,RandomForest,1.53732361988762e-05,1.0204011555555521e-05,0.9991411206700905,0.9998057590459136,0.006504476462077888,0.00432687638111464,0.9843305083911299,0.020756207476114015
DF_9,9,LinearRegression,6.108999943487198e-05,5.199639507457144e-05,0.9868300295366053,0.9963541200172635,0.025912117334077223,0.02209972859668817,0.9681052313832388,0.0773701355300338
DF_10,10,RandomForest,6.643413490380632e-06,4.032926666666659e-06,0.9998687771830013,0.9999441598991569,0.0027347054773022867,0.0016598238650705624,0.9965901177399135,0.010817580609807262
DF_10,10,LinearRegression,3.899295203316393e-05,2.5412158176043464e-05,0.9949854009329935,0.9981808532200878,0.01606666600395602,0.010469760596951778,0.989331980251807,0.062236477797373416
Overall,All,RandomForest,8.402000750778337e-06,5.433080032380973e-06,0.9996864441085094,0.9998897198997222,0.0037913650342738642,0.0024475965935302586,0.9946233680478926,0.013948536108870872
Overall,All,LinearRegression,4.135322247100718e-05,3.225271488404106e-05,0.9921756399365,0.9974314921217635,0.018673748263529372,0.014514830462849107,0.9860043900421654,0.06468411406299648
