DF_index,RMSE_mean,MAE_mean,R2_mean
1,7.228403092054511e-05,7.067439736720162e-05,0.9546362616211848
2,0.00012080132742440916,0.00011147295493925943,0.9587307208456365
3,3.6891230605389456e-05,2.8328039992245047e-05,0.997135858992704
4,0.00016928917993584605,9.288169480866525e-05,0.9346508252069509
5,7.135906792923665e-05,4.387313606571859e-05,0.9866142779231897
6,0.00013789359933282126,9.761524570657856e-05,0.9541083070417505
7,4.3440566226458445e-05,3.143086180698062e-05,0.9941935466539573
8,2.4993303732890096e-05,1.9529311378175592e-05,0.9982167663470506
9,6.790245411528334e-05,6.292620748248287e-05,0.9816841120959343
10,3.6782818533997934e-05,2.9585517225651545e-05,0.996620530809871
