DF_index,RMSE_mean,MAE_mean,R2_mean
1,4.600009233674382e-06,2.586611200000064e-06,0.99982007181839
2,1.998080107483639e-05,1.3389176800000004e-05,0.9988257961583887
3,8.442839385265153e-06,4.184072533333192e-06,0.9998448923378065
4,1.6116739627246005e-05,6.101346666666725e-06,0.9994152360436035
5,1.3085074285126867e-05,6.220916799999846e-06,0.999586667693578
6,1.5311670516136527e-05,8.86867120000006e-06,0.9994101280663134
7,7.645267720670745e-06,4.410754666666424e-06,0.9998111005774112
8,9.135142413006819e-06,5.371642666667266e-06,0.999770193435133
9,1.0238408840603078e-05,5.669030133333507e-06,0.9994948145044867
10,8.052985051838014e-06,4.931781333333674e-06,0.9998312091752983
