Scope,DF_index,Method,Metric,Score
DF_1,1,RandomForest,R2_score,0.99982007181839
DF_1,1,RandomForest,RMSE_score,0.9960365350382375
DF_1,1,RandomForest,MAE_score,0.9977678973322796
DF_1,1,RandomForest,Correlation_score,0.9999291435606563
DF_1,1,RandomForest,Peak_accuracy,0.999995270525917
DF_1,1,RandomForest,Residual_stability,0.9877567415636943
DF_1,1,LinearRegression,R2_score,0.9546362616211848
DF_1,1,LinearRegression,RMSE_score,0.9412639006004888
DF_1,1,LinearRegression,MAE_score,0.9424994190055977
DF_1,1,LinearRegression,Correlation_score,0.9990505964922158
DF_1,1,LinearRegression,Peak_accuracy,0.9505696026477835
DF_1,1,LinearRegression,Residual_stability,0.9577728692090173
DF_2,2,RandomForest,R2_score,0.9988257961583887
DF_2,2,RandomForest,RMSE_score,0.9901719756558867
DF_2,2,RandomForest,MAE_score,0.9933918400713482
DF_2,2,RandomForest,Correlation_score,0.9997111291735772
DF_2,2,RandomForest,Peak_accuracy,0.9876350478717087
DF_2,2,RandomForest,Residual_stability,0.9746251085611888
DF_2,2,LinearRegression,R2_score,0.9587307208456365
DF_2,2,LinearRegression,RMSE_score,0.9434326391744567
DF_2,2,LinearRegression,MAE_score,0.9476122348789581
DF_2,2,LinearRegression,Correlation_score,0.9972183831274757
DF_2,2,LinearRegression,Peak_accuracy,0.9484774356010393
DF_2,2,LinearRegression,Residual_stability,0.9263719389361771
DF_3,3,RandomForest,R2_score,0.9998448923378065
DF_3,3,RandomForest,RMSE_score,0.9969673022958687
DF_3,3,RandomForest,MAE_score,0.9984946950495825
DF_3,3,RandomForest,Correlation_score,0.9999236548102479
DF_3,3,RandomForest,Peak_accuracy,0.997509803154322
DF_3,3,RandomForest,Residual_stability,0.9879094817708294
DF_3,3,LinearRegression,R2_score,0.997135858992704
DF_3,3,LinearRegression,RMSE_score,0.9868826050342533
DF_3,3,LinearRegression,MAE_score,0.9898976706706938
DF_3,3,LinearRegression,Correlation_score,0.9986891560684568
DF_3,3,LinearRegression,Peak_accuracy,0.9940973464234257
DF_3,3,LinearRegression,Residual_stability,0.9507787284513518
DF_4,4,RandomForest,R2_score,0.9994152360436035
DF_4,4,RandomForest,RMSE_score,0.9930535152617819
DF_4,4,RandomForest,MAE_score,0.9973585965369127
DF_4,4,RandomForest,Correlation_score,0.9997695241325764
DF_4,4,RandomForest,Peak_accuracy,0.997314758637967
DF_4,4,RandomForest,Residual_stability,0.9767688541880853
DF_4,4,LinearRegression,R2_score,0.9346508252069509
DF_4,4,LinearRegression,RMSE_score,0.9316139834939348
DF_4,4,LinearRegression,MAE_score,0.9612406380477567
DF_4,4,LinearRegression,Correlation_score,0.9790947585219889
DF_4,4,LinearRegression,Peak_accuracy,0.9433011206238642
DF_4,4,LinearRegression,Residual_stability,0.814843436275921
DF_5,5,RandomForest,R2_score,0.999586667693578
DF_5,5,RandomForest,RMSE_score,0.9942491134898004
DF_5,5,RandomForest,MAE_score,0.99725796877808
DF_5,5,RandomForest,Correlation_score,0.9998002351836788
DF_5,5,RandomForest,Peak_accuracy,0.9992374591864267
DF_5,5,RandomForest,Residual_stability,0.9802056664112377
DF_5,5,LinearRegression,R2_score,0.9866142779231897
DF_5,5,LinearRegression,RMSE_score,0.9694915362621054
DF_5,5,LinearRegression,MAE_score,0.9809935364310456
DF_5,5,LinearRegression,Correlation_score,0.9940906745218119
DF_5,5,LinearRegression,Peak_accuracy,0.9937287318941832
DF_5,5,LinearRegression,Residual_stability,0.9067462074957827
DF_6,6,RandomForest,R2_score,0.9994101280663134
DF_6,6,RandomForest,RMSE_score,0.9934696698849566
DF_6,6,RandomForest,MAE_score,0.996206911806601
DF_6,6,RandomForest,Correlation_score,0.99971807369951
DF_6,6,RandomForest,Peak_accuracy,0.9921184493144881
DF_6,6,RandomForest,Residual_stability,0.977140643981788
DF_6,6,LinearRegression,R2_score,0.9541083070417505
DF_6,6,LinearRegression,RMSE_score,0.9441316970847744
DF_6,6,LinearRegression,MAE_score,0.9597861260346172
DF_6,6,LinearRegression,Correlation_score,0.9873469685647341
DF_6,6,LinearRegression,Peak_accuracy,0.9592409177700851
DF_6,6,LinearRegression,Residual_stability,0.8253566157597572
DF_7,7,RandomForest,R2_score,0.9998111005774112
DF_7,7,RandomForest,RMSE_score,0.9962564922148929
DF_7,7,RandomForest,MAE_score,0.9978365302748862
DF_7,7,RandomForest,Correlation_score,0.9999212660772071
DF_7,7,RandomForest,Peak_accuracy,0.9974157826843897
DF_7,7,RandomForest,Residual_stability,0.9879228380630162
DF_7,7,LinearRegression,R2_score,0.9941935466539573
DF_7,7,LinearRegression,RMSE_score,0.9790888754446938
DF_7,7,LinearRegression,MAE_score,0.9847807425194162
DF_7,7,LinearRegression,Correlation_score,0.9982367371918859
DF_7,7,LinearRegression,Peak_accuracy,0.9919084000957835
DF_7,7,LinearRegression,Residual_stability,0.940835117191807
DF_8,8,RandomForest,R2_score,0.999770193435133
DF_8,8,RandomForest,RMSE_score,0.9955779198408581
DF_8,8,RandomForest,MAE_score,0.9973947276032125
DF_8,8,RandomForest,Correlation_score,0.9999124463560856
DF_8,8,RandomForest,Peak_accuracy,0.9998509914430715
DF_8,8,RandomForest,Residual_stability,0.9868601641353274
DF_8,8,LinearRegression,R2_score,0.9982167663470506
DF_8,8,LinearRegression,RMSE_score,0.9880239025213109
DF_8,8,LinearRegression,MAE_score,0.9906142186133933
DF_8,8,LinearRegression,Correlation_score,0.9993838247456923
DF_8,8,LinearRegression,Peak_accuracy,0.9984735718140534
DF_8,8,LinearRegression,Residual_stability,0.9660467849685046
DF_9,9,RandomForest,R2_score,0.9994948145044867
DF_9,9,RandomForest,RMSE_score,0.9946784493891947
DF_9,9,RandomForest,MAE_score,0.9970463487185546
DF_9,9,RandomForest,Correlation_score,0.9997892115951882
DF_9,9,RandomForest,Peak_accuracy,0.9953958540975689
DF_9,9,RandomForest,Residual_stability,0.9820683974165437
DF_9,9,LinearRegression,R2_score,0.9816841120959343
DF_9,9,LinearRegression,RMSE_score,0.9655214750226059
DF_9,9,LinearRegression,MAE_score,0.9679554033579569
DF_9,9,LinearRegression,Correlation_score,0.9981734389473984
DF_9,9,LinearRegression,Peak_accuracy,0.9865572282682868
DF_9,9,LinearRegression,Residual_stability,0.9316223727511284
DF_10,10,RandomForest,R2_score,0.9998312091752983
DF_10,10,RandomForest,RMSE_score,0.9961794012916751
DF_10,10,RandomForest,MAE_score,0.9976563994299946
DF_10,10,RandomForest,Correlation_score,0.9999232750496974
DF_10,10,RandomForest,Peak_accuracy,0.9998709171904798
DF_10,10,RandomForest,Residual_stability,0.9879742682795001
DF_10,10,LinearRegression,R2_score,0.996620530809871
DF_10,10,LinearRegression,RMSE_score,0.9827942362116551
DF_10,10,LinearRegression,MAE_score,0.9861106480819657
DF_10,10,LinearRegression,Correlation_score,0.9994516627437973
DF_10,10,LinearRegression,Peak_accuracy,0.9891163567693759
DF_10,10,LinearRegression,Residual_stability,0.9632218892048028
Overall,All,RandomForest,R2_score,0.9995810109810408
Overall,All,RandomForest,RMSE_score,0.9946640374363153
Overall,All,RandomForest,MAE_score,0.9970411915601451
Overall,All,RandomForest,Correlation_score,0.9998397959638424
Overall,All,RandomForest,Peak_accuracy,0.9966344334106341
Overall,All,RandomForest,Residual_stability,0.9829232164371211
Overall,All,LinearRegression,R2_score,0.9756591207538229
Overall,All,LinearRegression,RMSE_score,0.9632244850850279
Overall,All,LinearRegression,MAE_score,0.97114906376414
Overall,All,LinearRegression,Correlation_score,0.9950736200925459
Overall,All,LinearRegression,Peak_accuracy,0.9755470711907881
Overall,All,LinearRegression,Residual_stability,0.9183595960244251
