Scope,DF_index,Method,RMSE,MAE,R2,Pearson_r,NRMSE,NMAE,Peak_accuracy_raw,Residual_std_ratio
DF_1,1,RandomForest,4.600009233674382e-06,2.586611200000064e-06,0.99982007181839,0.9999291435606563,0.003979240232545223,0.002237098315188403,0.999995270525917,0.012395088426152202
DF_1,1,LinearRegression,7.228403092054511e-05,7.067439736720162e-05,0.9546362616211848,0.9990505964922158,0.06247503465187883,0.06108266272305424,0.9505696026477835,0.04409850263243152
DF_2,2,RandomForest,1.9980801074836384e-05,1.3389176799999998e-05,0.9988257961583887,0.9997111291735772,0.009932090803944653,0.006655589535119353,0.9876350478717087,0.02605911121948916
DF_2,2,LinearRegression,0.00012080132742440916,0.00011147295493925943,0.9587307208456365,0.9972183831274757,0.060045168927713506,0.055409780359943504,0.9484774356010393,0.07971855566176198
DF_3,3,RandomForest,8.442839385265157e-06,4.184072533333189e-06,0.9998448923378065,0.9999236548102479,0.003042202985423942,0.0015076663318014034,0.997509803154322,0.012243177667564102
DF_3,3,LinearRegression,3.6891230605389456e-05,2.8328039992245047e-05,0.997135858992704,0.9986891560684568,0.013291748194569974,0.01020603905567035,0.9940973464234257,0.05177314603216881
DF_4,4,RandomForest,1.6116739627246005e-05,6.101346666666734e-06,0.9994152360436035,0.9997695241325764,0.006995132784596923,0.0026484007688083937,0.997314758637967,0.023785474253459466
DF_4,4,LinearRegression,0.00016928917993584605,9.288169480866525e-05,0.9346508252069509,0.9790947585219889,0.07345335576816019,0.04032240765322241,0.9433011206238642,0.22800004426440157
DF_5,5,RandomForest,1.308507428512687e-05,6.220916799999852e-06,0.999586667693578,0.9998002351836788,0.005784154037593178,0.002749636356142031,0.9992374591864267,0.020194118619637297
DF_5,5,LinearRegression,7.135906792923665e-05,4.387313606571859e-05,0.9866142779231897,0.9940906745218119,0.03155223680056712,0.0193982389433969,0.9937287318941832,0.1039025767564383
DF_6,6,RandomForest,1.5311670516136527e-05,8.868671200000065e-06,0.9994101280663134,0.99971807369951,0.006574320933685944,0.0038077811493064146,0.9921184493144881,0.023413218927288582
DF_6,6,LinearRegression,0.00013789359933282126,9.761524570657856e-05,0.9541083070417505,0.9873469685647341,0.05918921089653361,0.04190164922153459,0.9592409177700851,0.21166815861873362
DF_7,7,RandomForest,7.64526772067074e-06,4.4107546666664166e-06,0.9998111005774112,0.9999212660772071,0.0037582461378804465,0.002168332068231839,0.9974157826843897,0.012232879639986632
DF_7,7,LinearRegression,4.3440566226458445e-05,3.143086180698062e-05,0.9941935466539573,0.9982367371918859,0.021359902988128794,0.015455123888626996,0.9919084000957835,0.06288679979008997
DF_8,8,RandomForest,9.135142413006819e-06,5.371642666667273e-06,0.999770193435133,0.9999124463560856,0.004442088484434009,0.002612232202339885,0.9998509914430715,0.01331762275062865
DF_8,8,LinearRegression,2.4993303732890096e-05,1.9529311378175592e-05,0.9982167663470506,0.9993838247456923,0.012129257887668967,0.009478713989939738,0.9984735718140534,0.03518429716078873
DF_9,9,RandomForest,1.0238408840603073e-05,5.669030133333507e-06,0.9994948145044867,0.9997892115951882,0.005357803011970224,0.0029650040224364904,0.9953958540975689,0.018358545614770034
DF_9,9,LinearRegression,6.790245411528334e-05,6.292620748248287e-05,0.9816841120959343,0.9981734389473984,0.0357786180823856,0.03316162890851381,0.9865572282682868,0.07342695889048939
DF_10,10,RandomForest,8.052985051838011e-06,4.931781333333669e-06,0.9998312091752983,0.9999232750496974,0.0038358294506459587,0.00234939338342558,0.9998709171904798,0.012177350197681493
DF_10,10,LinearRegression,3.6782818533997934e-05,2.9585517225651545e-05,0.996620530809871,0.9994516627437973,0.01750699093992413,0.014086789696009187,0.9891163567693759,0.03820168082475264
Overall,All,RandomForest,1.1260893814840398e-05,6.173400400000077e-06,0.9995810109810408,0.9998397959638424,0.00537011088627205,0.002970113413279979,0.9966344334106341,0.017417658731665762
Overall,All,LinearRegression,7.816375787568775e-05,5.883173667729591e-05,0.9756591207538229,0.9950736200925459,0.038678152513753075,0.03005030344399117,0.9755470711907881,0.09288607206320564
