Scope,DF_index,Method,R2_score,RMSE_score,MAE_score,Correlation_score,Peak_accuracy,Residual_stability
DF_1,1,RandomForest,0.99982007181839,0.9960365350382375,0.9977678973322796,0.9999291435606563,0.999995270525917,0.9877567415636943
DF_1,1,LinearRegression,0.9546362616211848,0.9412639006004888,0.9424994190055977,0.9990505964922158,0.9505696026477835,0.9577728692090173
DF_2,2,RandomForest,0.9988257961583887,0.9901719756558867,0.9933918400713482,0.9997111291735772,0.9876350478717087,0.9746251085611888
DF_2,2,LinearRegression,0.9587307208456365,0.9434326391744567,0.9476122348789581,0.9972183831274757,0.9484774356010393,0.9263719389361771
DF_3,3,RandomForest,0.9998448923378065,0.9969673022958687,0.9984946950495825,0.9999236548102479,0.997509803154322,0.9879094817708294
DF_3,3,LinearRegression,0.997135858992704,0.9868826050342533,0.9898976706706938,0.9986891560684568,0.9940973464234257,0.9507787284513518
DF_4,4,RandomForest,0.9994152360436035,0.9930535152617819,0.9973585965369127,0.9997695241325764,0.997314758637967,0.9767688541880853
DF_4,4,LinearRegression,0.9346508252069509,0.9316139834939348,0.9612406380477567,0.9790947585219889,0.9433011206238642,0.814843436275921
DF_5,5,RandomForest,0.999586667693578,0.9942491134898004,0.99725796877808,0.9998002351836788,0.9992374591864267,0.9802056664112377
DF_5,5,LinearRegression,0.9866142779231897,0.9694915362621054,0.9809935364310456,0.9940906745218119,0.9937287318941832,0.9067462074957827
DF_6,6,RandomForest,0.9994101280663134,0.9934696698849566,0.996206911806601,0.99971807369951,0.9921184493144881,0.977140643981788
DF_6,6,LinearRegression,0.9541083070417505,0.9441316970847744,0.9597861260346172,0.9873469685647341,0.9592409177700851,0.8253566157597572
DF_7,7,RandomForest,0.9998111005774112,0.9962564922148929,0.9978365302748862,0.9999212660772071,0.9974157826843897,0.9879228380630162
DF_7,7,LinearRegression,0.9941935466539573,0.9790888754446938,0.9847807425194162,0.9982367371918859,0.9919084000957835,0.940835117191807
DF_8,8,RandomForest,0.999770193435133,0.9955779198408581,0.9973947276032125,0.9999124463560856,0.9998509914430715,0.9868601641353274
DF_8,8,LinearRegression,0.9982167663470506,0.9880239025213109,0.9906142186133933,0.9993838247456923,0.9984735718140534,0.9660467849685046
DF_9,9,RandomForest,0.9994948145044867,0.9946784493891947,0.9970463487185546,0.9997892115951882,0.9953958540975689,0.9820683974165437
DF_9,9,LinearRegression,0.9816841120959343,0.9655214750226059,0.9679554033579569,0.9981734389473984,0.9865572282682868,0.9316223727511284
DF_10,10,RandomForest,0.9998312091752983,0.9961794012916751,0.9976563994299946,0.9999232750496974,0.9998709171904798,0.9879742682795001
DF_10,10,LinearRegression,0.996620530809871,0.9827942362116551,0.9861106480819657,0.9994516627437973,0.9891163567693759,0.9632218892048028
Overall,All,RandomForest,0.9995810109810408,0.9946640374363153,0.9970411915601451,0.9998397959638424,0.9966344334106341,0.9829232164371211
Overall,All,LinearRegression,0.9756591207538229,0.9632244850850279,0.97114906376414,0.9950736200925459,0.9755470711907881,0.9183595960244251
