Scope,DF_index,Method,Metric,Score
DF_1,1,RandomForest,R2_score,0.9956991260622714
DF_1,1,RandomForest,RMSE_score,0.9830395463901193
DF_1,1,RandomForest,MAE_score,0.9908560955580995
DF_1,1,RandomForest,Correlation_score,0.9979657091376586
DF_1,1,RandomForest,Peak_accuracy,0.9808754876124063
DF_1,1,RandomForest,Residual_stability,0.9419859245843197
DF_1,1,LinearRegression,R2_score,0.928076069325952
DF_1,1,LinearRegression,RMSE_score,0.9355458611319799
DF_1,1,LinearRegression,MAE_score,0.9521631063488717
DF_1,1,LinearRegression,Correlation_score,0.9695377854866769
DF_1,1,LinearRegression,Peak_accuracy,0.9551283354248552
DF_1,1,LinearRegression,Residual_stability,0.809901430089124
DF_2,2,RandomForest,R2_score,0.996263349645385
DF_2,2,RandomForest,RMSE_score,0.9875795737889367
DF_2,2,RandomForest,MAE_score,0.993724358281443
DF_2,2,RandomForest,Correlation_score,0.9983257520109531
DF_2,2,RandomForest,Peak_accuracy,0.9920420719808053
DF_2,2,RandomForest,Residual_stability,0.9548096944423822
DF_2,2,LinearRegression,R2_score,0.9233130152074956
DF_2,2,LinearRegression,RMSE_score,0.9509844897876482
DF_2,2,LinearRegression,MAE_score,0.9645666571275026
DF_2,2,LinearRegression,Correlation_score,0.9641401563665712
DF_2,2,LinearRegression,Peak_accuracy,0.9727162854353427
DF_2,2,LinearRegression,Residual_stability,0.848255541741799
DF_3,3,RandomForest,R2_score,0.9990934376354362
DF_3,3,RandomForest,RMSE_score,0.9927117590168919
DF_3,3,RandomForest,MAE_score,0.9960931107529843
DF_3,3,RandomForest,Correlation_score,0.9997086281726565
DF_3,3,RandomForest,Peak_accuracy,0.9995860106373634
DF_3,3,RandomForest,Residual_stability,0.9774996386566325
DF_3,3,LinearRegression,R2_score,0.9742479780376501
DF_3,3,LinearRegression,RMSE_score,0.9626249981858161
DF_3,3,LinearRegression,MAE_score,0.9740266774654903
DF_3,3,LinearRegression,Correlation_score,0.9945812063672527
DF_3,3,LinearRegression,Peak_accuracy,0.9666598798998903
DF_3,3,LinearRegression,Residual_stability,0.9044477959056237
Overall,All,RandomForest,R2_score,0.9970186377810308
Overall,All,RandomForest,RMSE_score,0.9877769597319827
Overall,All,RandomForest,MAE_score,0.9935578548641756
Overall,All,RandomForest,Correlation_score,0.9986666964404227
Overall,All,RandomForest,Peak_accuracy,0.9908345234101916
Overall,All,RandomForest,Residual_stability,0.958098419227778
Overall,All,LinearRegression,R2_score,0.9418790208570326
Overall,All,LinearRegression,RMSE_score,0.9497184497018147
Overall,All,LinearRegression,MAE_score,0.9635854803139549
Overall,All,LinearRegression,Correlation_score,0.976086382740167
Overall,All,LinearRegression,Peak_accuracy,0.964834833586696
Overall,All,LinearRegression,Residual_stability,0.8542015892455156
